Время (с),A0 (В),A2 (В)
0.058797597885131836,3.431,1.627
0.0628359317779541,3.529,1.647
0.06685423851013184,3.549,1.627
0.06787705421447754,3.529,1.392
0.07094287872314453,3.510,1.412
0.07494330406188965,3.451,1.431
0.0759437084197998,3.373,1.392
0.07998323440551758,3.275,1.627
0.08349180221557617,3.196,1.765
0.08755111694335938,3.118,1.745
0.08755111694335938,3.059,1.765
0.09155035018920898,3.020,1.725
0.09560298919677734,2.961,1.725
0.09960699081420898,2.902,1.765
0.10060787200927734,2.902,1.902
0.10366320610046387,2.843,2.059
0.10866332054138184,2.765,2.176
0.11276578903198242,2.706,2.235
0.11276578903198242,2.667,2.353
0.11628031730651855,2.588,2.490
0.12032151222229004,2.490,2.667
0.12032151222229004,2.490,2.922
0.12503719329833984,2.490,3.059
0.12904119491577148,2.471,3.137
0.1330409049987793,2.510,3.098
0.1330409049987793,2.569,3.275
0.1370406150817871,2.647,3.294
0.14109587669372559,2.706,3.294
0.1450960636138916,2.784,3.490
0.1450960636138916,2.843,3.490
0.1491401195526123,2.902,3.765
0.1531386375427246,2.961,3.745
0.15754938125610352,3.020,3.863
0.15754938125610352,3.078,4.000
0.161668062210083,3.157,4.020
0.1656663417816162,3.176,4.059
0.1656663417816162,3.196,3.922
0.17009687423706055,3.255,3.608
0.17367815971374512,3.255,3.549
0.17768096923828125,3.255,3.569
0.17768096923828125,3.255,3.725
0.18167924880981445,3.235,3.667
0.1861894130706787,3.196,3.843
0.19018888473510742,3.157,3.843
0.19018888473510742,3.078,3.647
0.19423604011535645,3.020,3.667
0.19823646545410156,2.961,3.588
0.20288562774658203,2.843,3.451
0.20288562774658203,2.745,3.569
0.20688509941101074,2.608,3.569
0.21088385581970215,2.490,3.471
0.21088385581970215,2.373,3.392
0.21488523483276367,2.255,3.294
0.2188854217529297,2.196,3.255
0.2228856086730957,2.137,3.157
0.2228856086730957,2.078,3.098
0.226945161819458,2.020,2.882
0.23094511032104492,2.020,2.686
0.23503804206848145,1.980,2.392
0.23503804206848145,2.000,2.353
0.23903846740722656,2.020,2.255
0.24303698539733887,2.039,2.294
0.24303698539733887,2.098,2.098
0.2470836639404297,2.098,1.902
0.2510833740234375,2.157,1.863
0.25612568855285645,2.137,1.922
0.25612568855285645,2.176,1.843
0.25989317893981934,2.176,2.137
0.26389217376708984,2.196,2.353
0.26789283752441406,2.196,2.529
0.26789283752441406,2.196,2.647
0.2718973159790039,2.275,2.725
0.27589869499206543,2.275,2.745
0.2799563407897949,2.353,2.647
0.2799563407897949,2.373,2.686
0.2844662666320801,2.392,2.824
0.2885613441467285,2.373,2.608
0.2885613441467285,2.373,2.510
0.29256224632263184,2.353,2.392
0.29656267166137695,2.294,2.353
0.30056118965148926,2.255,2.431
0.30056118965148926,2.137,2.608
0.3045616149902344,2.020,2.745
0.3085672855377197,1.941,2.784
0.3125629425048828,1.843,2.804
0.31356143951416016,1.725,2.765
0.31756114959716797,1.686,2.569
